criterion,max_points,Eper,Kivi,Barack,Datolya,Szilva,Alma,Citrom,AI_individual_Eper,AI_individual_Kivi,AI_individual_Barack,AI_individual_Datolya,AI_individual_Szilva,AI_individual_Alma,AI_individual_Citrom,AI_combined_Eper,AI_combined_Kivi,AI_combined_Barack,AI_combined_Datolya,AI_combined_Szilva,AI_combined_Alma,AI_combined_Citrom
compact_operation,10,5,8,9,10,6,7,6,,,,,,,,,,,,,,
detailed_functionality,10,4,9,8,9,4,9,5,,,,,,,,,,,,,,
roles_and_permissions,5,5,5,5,5,4,5,5,,,,,,,,,,,,,,
communication,10,5,10,10,10,9,10,6,,,,,,,,,,,,,,
data_management_and_architecture,5,5,4,5,5,4,5,3,,,,,,,,,,,,,,
architecture,10,6,10,9,9,7,9,6.5,,,,,,,,,,,,,,
maintainability,10,10,8,9,8,5,8,8,,,,,,,,,,,,,,
error_handling,5,2,4,5,4,4,4,3,,,,,,,,,,,,,,
quality_and_reliability,5,5,5,4.5,5,1,5,4,,,,,,,,,,,,,,
ui_and_ux,5,2,3,4,5,2,4,2,,,,,,,,,,,,,,
mobility,10,0,5,8,7,6,6,6,,,,,,,,,,,,,,
deployment_documentation,5,5,5,5,4,3,5,5,,,,,,,,,,,,,,
repository_structure,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,
innovation,5,2,4,4,5,2,4,2,,,,,,,,,,,,,,
TOTAL,100,61,85,90.5,89,62,86,66.5,,,,,,,,,,,,,,
