cell_id,model_alias,context_tokens_target,k,repeat,total_cost_usd,duration_ms,is_error,error_reason,parse_ok,recall
ctx150000_k15_rep1,haiku,150000,15,1,0,657,1,context_overflow,0,
ctx150000_k15_rep1,sonnet,150000,15,1,1.3318542000000002,48814,0,,1,1.0
ctx150000_k15_rep2,haiku,150000,15,2,0,915,1,context_overflow,0,
ctx150000_k15_rep2,sonnet,150000,15,2,1.3315602,60263,0,,1,1.0
ctx150000_k20_rep1,claude-sonnet-4-5,150000,20,1,0,1289,1,context_overflow,0,
ctx150000_k20_rep1,haiku,150000,20,1,0,836,1,context_overflow,0,
ctx150000_k20_rep1,opus,150000,20,1,2.857847,38535,0,,1,1.0
ctx150000_k20_rep1,sonnet,150000,20,1,1.3329971999999999,54104,0,,1,1.0
ctx150000_k20_rep2,haiku,150000,20,2,0,2330,1,context_overflow,0,
ctx150000_k20_rep2,sonnet,150000,20,2,1.3600044,40868,0,,1,1.0
ctx150000_k3_rep1,claude-sonnet-4-5,150000,3,1,0,692,1,context_overflow,0,
ctx150000_k3_rep1,haiku,150000,3,1,0,712,1,context_overflow,0,
ctx150000_k3_rep1,opus,150000,3,1,2.803937,17392,0,,1,1.0
ctx150000_k3_rep1,sonnet,150000,3,1,1.3024292999999998,15850,0,,1,1.0
ctx150000_k3_rep2,haiku,150000,3,2,0,1309,1,context_overflow,0,
ctx150000_k3_rep2,sonnet,150000,3,2,1.3050123,15155,0,,1,1.0
ctx150000_k8_rep1,haiku,150000,8,1,0,1101,1,context_overflow,0,
ctx150000_k8_rep1,sonnet,150000,8,1,1.3090263,25048,0,,1,1.0
ctx150000_k8_rep2,haiku,150000,8,2,0,780,1,context_overflow,0,
ctx150000_k8_rep2,sonnet,150000,8,2,1.3141473,23718,0,,1,1.0
ctx16000_k15_rep1,haiku,16000,15,1,0.1002343,23428,0,,1,1.0
ctx16000_k15_rep1,sonnet,16000,15,1,0.1985083,14996,0,,1,1.0
ctx16000_k15_rep2,haiku,16000,15,2,0.09475099999999999,22999,0,,1,1.0
ctx16000_k15_rep2,sonnet,16000,15,2,0.2028143,12619,0,,1,1.0
ctx16000_k20_rep1,haiku,16000,20,1,0.09887000000000001,31393,0,,1,1.0
ctx16000_k20_rep1,sonnet,16000,20,1,0.2288903,36800,0,,1,1.0
ctx16000_k20_rep2,haiku,16000,20,2,0.094895,24634,0,,1,1.0
ctx16000_k20_rep2,sonnet,16000,20,2,0.2052453,18450,0,,1,1.0
ctx16000_k3_rep1,haiku,16000,3,1,0.08040499999999999,7366,0,,1,1.0
ctx16000_k3_rep1,sonnet,16000,3,1,0.18473530000000002,3853,0,,1,1.0
ctx16000_k3_rep2,haiku,16000,3,2,0.079969,6839,0,,1,1.0
ctx16000_k3_rep2,sonnet,16000,3,2,0.18434630000000002,3700,0,,1,1.0
ctx16000_k8_rep1,haiku,16000,8,1,0.086113,14247,0,,1,1.0
ctx16000_k8_rep1,sonnet,16000,8,1,0.2065523,23517,0,,1,1.0
ctx16000_k8_rep2,haiku,16000,8,2,0.085707,13685,0,,1,1.0
ctx16000_k8_rep2,sonnet,16000,8,2,0.1914783,7601,0,,1,1.0
ctx2000_k15_rep1,haiku,2000,15,1,0.029746,13921,0,,1,1.0
ctx2000_k15_rep1,sonnet,2000,15,1,0.061454299999999996,11720,0,,1,1.0
ctx2000_k15_rep2,haiku,2000,15,2,0.030610000000000002,13961,0,,1,1.0
ctx2000_k15_rep2,sonnet,2000,15,2,0.060955300000000004,9772,0,,1,1.0
ctx2000_k20_rep1,claude-sonnet-4-5,2000,20,1,0.09195910000000002,40385,0,,1,1.0
ctx2000_k20_rep1,haiku,2000,20,1,0.036293,21825,0,,1,1.0
ctx2000_k20_rep1,opus,2000,20,1,0.154129,38301,0,,1,1.0
ctx2000_k20_rep1,sonnet,2000,20,1,0.0953274,14661,0,,1,1.0
ctx2000_k20_rep2,haiku,2000,20,2,0.0394341,25972,0,,1,1.0
ctx2000_k20_rep2,sonnet,2000,20,2,0.0967916,35173,0,,1,1.0
ctx2000_k3_rep1,claude-sonnet-4-5,2000,3,1,0.191969,24384,0,,1,1.0
ctx2000_k3_rep1,haiku,2000,3,1,0.0297339,8245,0,,1,1.0
ctx2000_k3_rep1,opus,2000,3,1,0.272399,12573,0,,1,1.0
ctx2000_k3_rep1,sonnet,2000,3,1,0.17812999999999998,5805,0,,1,1.0
ctx2000_k3_rep2,haiku,2000,3,2,0.028540299999999998,5319,0,,1,1.0
ctx2000_k3_rep2,sonnet,2000,3,2,0.170144,5036,0,,1,1.0
ctx2000_k8_rep1,haiku,2000,8,1,0.0263554,13895,0,,1,1.0
ctx2000_k8_rep1,sonnet,2000,8,1,0.0531635,7169,0,,1,1.0
ctx2000_k8_rep2,haiku,2000,8,2,0.0242204,10209,0,,1,1.0
ctx2000_k8_rep2,sonnet,2000,8,2,0.050778500000000004,5395,0,,1,1.0
ctx64000_k15_rep1,haiku,64000,15,1,0.11508120000000001,19629,0,,1,1.0
ctx64000_k15_rep1,sonnet,64000,15,1,0.7028376000000001,40720,0,,1,1.0
ctx64000_k15_rep2,haiku,64000,15,2,0.2974711,25375,0,,1,1.0
ctx64000_k15_rep2,sonnet,64000,15,2,0.6954446,42029,0,,1,1.0
ctx64000_k20_rep1,haiku,64000,20,1,0.3000961,30373,0,,1,1.0
ctx64000_k20_rep1,sonnet,64000,20,1,0.7057896000000001,51201,0,,1,1.0
ctx64000_k20_rep2,haiku,64000,20,2,0.3008761,31560,0,,1,1.0
ctx64000_k20_rep2,sonnet,64000,20,2,0.7144746,58330,0,,1,1.0
ctx64000_k3_rep1,haiku,64000,3,1,0.2857721,9485,0,,1,1.0
ctx64000_k3_rep1,sonnet,64000,3,1,0.6687186,13955,0,,1,1.0
ctx64000_k3_rep2,haiku,64000,3,2,0.2841051,9925,0,,1,1.0
ctx64000_k3_rep2,sonnet,64000,3,2,0.6664906,14288,0,,1,1.0
ctx64000_k8_rep1,haiku,64000,8,1,0.28791710000000004,13602,0,,1,1.0
ctx64000_k8_rep1,sonnet,64000,8,1,0.6800885999999999,30350,0,,1,1.0
ctx64000_k8_rep2,haiku,64000,8,2,0.2912841,17238,0,,1,1.0
ctx64000_k8_rep2,sonnet,64000,8,2,0.6804016,26722,0,,1,1.0
