cell_id,model_alias,context_tokens_target,k,repeat,needle_id,needle_type,position_frac,position_third,expected_answer,given_answer,correct,parse_ok,error_reason
ctx150000_k15_rep1,haiku,150000,15,1,N18,kivetel,0.062,eleje,érintett / hallgató,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N19,kivetel,0.125,eleje,utolsó beadás,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N14,szam,0.188,eleje,3,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N12,szam,0.25,eleje,42 pont,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N06,definicio,0.312,eleje,három egymást követő futtatásban,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N11,szam,0.375,kozepe,35%,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N04,hatarido,0.438,kozepe,2026. február 20,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N17,kivetel,0.5,kozepe,10%,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N16,kivetel,0.562,kozepe,hétfőn,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N05,hatarido,0.625,kozepe,2026. június 2,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N20,kivetel,0.688,vege,két / kettő / 2,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N03,hatarido,0.75,vege,2026. május 5,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N10,definicio,0.812,vege,működő prototípust,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N02,hatarido,0.875,vege,2026. április 3,,,0,context_overflow
ctx150000_k15_rep1,haiku,150000,15,1,N09,definicio,0.938,vege,15 perc,,,0,context_overflow
ctx150000_k15_rep1,sonnet,150000,15,1,N18,kivetel,0.062,eleje,érintett / hallgató,"Csak az érintett hallgató pontszáma csökken, a csapat többi tagjáé nem.",1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N19,kivetel,0.125,eleje,utolsó beadás,"Az utolsó beadás bírálja felül a korábbi órai gyakorlat pontszámát, még akkor is, ha az rosszabb eredményt hozna.",1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N14,szam,0.188,eleje,3,Legfeljebb 3 fő dolgozhat együtt a feladaton.,1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N12,szam,0.25,eleje,42 pont,Legalább 42 pontot kell elérni a lehetséges 100-ból.,1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N06,definicio,0.312,eleje,három egymást követő futtatásban,"Azt a fejlesztési ciklust nevezzük stabil iterációnak, amely után a build szerver három egymást követő futtatásban is hibamentes eredményt ad.",1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N11,szam,0.375,kozepe,35%,A laborgyakorlatok teljesítménye a végső jegy 35%-át teszi ki.,1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N04,hatarido,0.438,kozepe,2026. február 20,"2026. február 20-án, 14:00-kor.",1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N17,kivetel,0.5,kozepe,10%,A pótzárthelyin 10%-kal több időt kap a feladatok megoldására.,1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N16,kivetel,0.562,kozepe,hétfőn,Az csak a következő hétfőn számít határidőn belülinek.,1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N05,hatarido,0.625,kozepe,2026. június 2,"2026. június 2-án, 8:00-kor.",1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N20,kivetel,0.688,vege,két / kettő / 2,Két igazolatlan hiányzás után.,1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N03,hatarido,0.75,vege,2026. május 5,2026. május 5-én nyílik meg a hallgatók számára.,1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N10,definicio,0.812,vege,működő prototípust,"Az a mérföldkő, amikor a csapat bemutatja a működő prototípust az oktatónak.",1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N02,hatarido,0.875,vege,2026. április 3,"2026. április 3-án, 23:59-kor.",1,1,
ctx150000_k15_rep1,sonnet,150000,15,1,N09,definicio,0.938,vege,15 perc,15 perces időszak a beadási határidő után.,1,1,
ctx150000_k15_rep2,haiku,150000,15,2,N01,hatarido,0.062,eleje,2026. március 14,,,0,context_overflow
ctx150000_k15_rep2,haiku,150000,15,2,N06,definicio,0.125,eleje,három egymást követő futtatásban,,,0,context_overflow
ctx150000_k15_rep2,haiku,150000,15,2,N07,definicio,0.188,eleje,leadási határidő után,,,0,context_overflow
ctx150000_k15_rep2,haiku,150000,15,2,N04,hatarido,0.25,eleje,2026. február 20,,,0,context_overflow
ctx150000_k15_rep2,haiku,150000,15,2,N11,szam,0.312,eleje,35%,,,0,context_overflow
